Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","8219","Yorkshire and The Humber","Rotherham","M18","TM","448325","388413","M1","M18 SPUR","1.3","0","42","11116","114","2027","1063","128","96","470","1686","1142","4586","17884"
"2000","8263","Yorkshire and The Humber","Leeds","A659","PU","419620","445185","A660(T)/A6038","Ilkley rd","0.31","11","18","1671","32","148","53","4","4","5","5","5","76","1945"
"2000","8264","Yorkshire and The Humber","York","A1036","PU","460945","452355","Jewbury","Monkgate","0.31","21","25","1046","53","196","22","2","0","1","1","0","26","1346"
"2000","8331","Yorkshire and The Humber","East Riding of Yorkshire","A63","TR","471000","430000","Bridge over R Derwent","A63 / A614 / B1230","3.91","0","67","5990","29","772","408","16","27","67","191","126","835","7694"
"2000","8345","Yorkshire and The Humber","Rotherham","A6021","PU","442600","392200","A630","A618","0.43","2","8","1459","18","146","16","2","1","2","4","0","25","1656"
"2000","8348","Yorkshire and The Humber","Leeds","M621","TM","430550","431500","4","5","0.37","0","45","8047","45","1011","203","36","43","60","118","88","548","9696"
"2000","8361","Yorkshire and The Humber","North Lincolnshire","A1077","PR","502900","422000","B1218","B1218","0.25","12","14","745","9","106","17","2","1","6","7","4","37","912"
"2000","8389","Yorkshire and The Humber","North East Lincolnshire","A16","PU","527440","408500","A46","Fred Ward Way","1.06","20","64","5066","31","500","96","25","16","19","29","20","205","5866"
"2000","8413","Yorkshire and The Humber","Kingston upon Hull, City of","A1166","PU","507000","427540","North rd","Witty St","0.56","139","48","3189","64","561","79","19","4","8","7","15","132","3995"
"2000","8424","Yorkshire and The Humber","York","A1036","PU","459520","451200","Scarcroft Road","Holgate Rd","0.12","46","12","523","50","65","9","1","0","0","0","0","11","661"
"2000","8442","Yorkshire and The Humber","Barnsley","A61","PU","434800","406200","A628","A628","0.19","2","13","1551","131","198","35","6","3","8","6","5","63","1956"
"2000","8443","Yorkshire and The Humber","Doncaster","M18","TM","468260","415000","6","LA Boundary","2.86","0","116","25911","156","4815","2368","274","228","980","4275","2444","10569","41567"
"2000","8462","Yorkshire and The Humber","Doncaster","A18","PR","468780","411000","M180 southern slip","M180/A614 roundabout","0.19","1","5","399","8","69","16","5","8","3","10","7","47","527"
"2000","8466","Yorkshire and The Humber","Leeds","A661","PR","440425","448000","A58","B1224","0.25","2","8","1423","13","99","41","1","3","2","3","5","56","1600"
"2000","8524","Yorkshire and The Humber","Bradford","A6035","PU","406265","441340","A6035 Bradford Rd","A629","0.25","4","6","860","27","98","18","1","0","1","0","0","22","1013"
"2000","8537","Yorkshire and The Humber","Leeds","A62","PU","424101","428086","M62 mid-junction","A650 roundabout","0.19","2","11","2376","8","265","139","12","6","26","38","33","254","2913"
"2000","8538","Yorkshire and The Humber","Leeds","M621","TM","424290","428000","A650 SPUR","RD SPLIT","0.68","0","18","2550","9","427","74","11","8","20","61","28","202","3204"
"2000","8540","Yorkshire and The Humber","Leeds","A660","PU","429951","434211","A58","A58(M)","0.19","24","8","954","70","77","8","1","0","0","0","0","10","1119"
"2000","8548","Yorkshire and The Humber","Leeds","M621","TM","425000","427910","A62","SPUR","0.81","0","30","6087","24","1016","131","28","12","45","110","54","379","7536"
"2000","8554","Yorkshire and The Humber","Leeds","A64","PM","431250","433680","A64(M)","A64(M)","0.19","0","24","3337","116","365","137","16","19","29","60","51","312","4153"
"2000","8579","Yorkshire and The Humber","Bradford","A6037","PU","416627","433539","A6181","A6181","0.31","5","8","837","25","93","8","1","1","1","1","1","12","975"
"2000","8580","Yorkshire and The Humber","Bradford","A650","PU","417000","433214","A658","A647","0.31","1","23","3501","14","589","129","13","5","16","21","13","198","4325"
"2000","8590","Yorkshire and The Humber","Rotherham","A6109","PU","441149","393000","Psalters Lane","A629","0.37","2","17","1456","21","171","52","7","6","8","6","7","85","1750"
"2000","8591","Yorkshire and The Humber","Barnsley","A616","TR","432000","398979","A629","A61","1.8","2","67","9123","44","1245","685","114","82","186","472","423","1962","12441"
"2000","8608","Yorkshire and The Humber","York","A1237","PR","456150","450000","A64(T)","A59","3.98","17","367","23227","67","2706","670","108","194","115","576","451","2113","28480"
